origin,diameter1,diameter2,height,buoyant_weight,weight,solid_parts,integuments,dry_integuments,digestive_tract,dry_digestive_tract,gonads,dry_gonads,skeleton,lantern,test,spines,maturity,sex
Farm,53.1,54.5,26.3,9.5707,60.21,41.72,31.13,16.59,4.32,0.5,5.75,1.85,14.649999999999999,0.93,6.87,6.85,1,M
Farm,52.7,52.7,25.9,10.838000000000001,63.23,46.58,29.91,17.83,5.83,0.59,9.97,3.03,16.09,1.02,7.48,7.59,2,F
Farm,54,54.2,24.5,10.6961,64.35,44.26,30.16,17.5,4.05,0.53,8.8,2.87,15.670000000000002,0.91,6.94,7.82,0,M
Farm,51.1,51.3,28.8,11.2132,62.45,44.99,30.91,18.23,5.63,0.74,7.6,2.55,16.63,1.08,6.62,8.93,0,M
Farm,52.1,53.6,31.2,11.0814,63.67,44.01,32.53,18.52,6.53,0.69,4.36,1.46,NA,NA,NA,NA,0,M
Farm,52.3,51.4,28.6,12.3791,68.62,53.88,33.72,20.05,8.42,0.87,9.92,3.35,NA,NA,NA,NA,0,F
Farm,51.2,51.1,27.2,9.7329,60.35,40.55,29.36,16.32,6.44,0.71,3.66,1.19,NA,NA,NA,NA,0,NA
Farm,7.8,7.5,2.9,NA,0.2139,0.1854,0.1396,NA,0.0193,0.0037,0,0,0.060500000000000005,0.0092,0.0217,0.0296,0,NA
Farm,9.1,9.4,3.5,NA,0.3202,0.2854,0.20120000000000002,NA,0.0295,0.0054,0,0,0.10089999999999977,0.013900000000000023,0.0302,0.0568,0,NA
Farm,7.9,8.2,3.1,NA,0.2174,0.1899,0.1364,NA,0.0187,0.0041,0,0,0.065,0.0091,0.0206,0.035300000000000005,0,NA
Farm,9.1,9.5,3.7,NA,0.3282,0.2866,0.21560000000000001,NA,0.0308,0.0061,0,0,0.0979,0.013000000000000001,0.036500000000000005,0.0483,0,NA
Farm,8.2,7.8,3.3,NA,0.2111,0.1842,0.1319,NA,0.0195,0.0033,0,0,0.11330000000000001,0.0077,0.0431,0.0626,0,NA
Farm,7.9,7.9,3.3,NA,0.1927,0.1607,0.1135,NA,0.0132,0.0023,0,0,NA,NA,NA,NA,0,NA
Farm,6.3,6.2,2.4,NA,0.10650000000000001,0.0865,0.0574,NA,0.0067,0.0014,0,0,NA,NA,NA,NA,0,NA
Farm,7.7,7.9,3.3,NA,0.2136,0.1736,0.1245,NA,0.0155,0.0031,0,0,NA,NA,NA,NA,0,NA
Farm,7,7.2,3.2,NA,0.1618,0.1303,0.0898,NA,0.0106,0.0025,0,0,NA,NA,NA,NA,0,NA
Farm,6.9,6.4,2.4,NA,0.1233,0.09630000000000001,0.0654,NA,0.0079,0.0018,0,0,NA,NA,NA,NA,0,NA
Farm,7.7,8,3.4,NA,0.2189,0.1725,0.13090000000000002,NA,0.0112,0.0024000000000000002,0,0,NA,NA,NA,NA,0,NA
Farm,6.7,6.8,2.9,NA,0.1183,0.0907,0.0658,NA,0.0043,8e-4,0,0,NA,NA,NA,NA,0,NA
Farm,7.7,7.8,3.1,NA,0.2018,0.15760000000000002,0.1189,NA,0.008700000000000001,0.0021000000000000003,0,0,NA,NA,NA,NA,0,NA
Farm,7.5,7.4,2.9,NA,0.1762,0.132,0.0971,NA,0.0116,0.0026000000000000003,0,0,NA,NA,NA,NA,0,NA
Farm,13,13.8,6.1,NA,1.111,0.9819,0.6586,0.4645,0.0533,0.013900000000000001,0.0652,0.0238,0.4142,0.0444,0.1834,0.1865,0,NA
Farm,10.5,10.6,4.5,NA,0.485,0.3985,0.2503,0.1764,0.0147,0.0046,0.0029,0.0014,0.2124,0.0747,0.0651,0.0725,0,NA
Farm,13.1,13.4,6.1,NA,1.061,0.9488,0.5866,0.36870000000000003,0.0691,0.0164,0.032600000000000004,0.009300000000000001,0.33140000000000003,0.0359,0.13390000000000002,0.1616,0,NA
Farm,14.2,14,6.4,NA,1.375,1.1887,0.8238,0.5085,0.0722,0.0189,0.0414,0.015,0.47650000000000003,0.0803,0.1684,0.2277,0,NA
Farm,11.4,11.3,4.9,NA,0.704,0.6203,0.4087,0.2896,0.028,0.0079,0.0253,0.0109,0.26830000000000004,0.0308,0.1077,0.1298,0,NA
Farm,11.2,11.2,5.5,NA,0.692,0.5746,0.3848,0.2652,0.0259,0.0073,3.0000000000000003e-4,0,NA,NA,NA,NA,0,NA
Farm,11,11,5.3,NA,0.72,0.6301,0.4232,0.3093,0.043300000000000005,0.0125,9e-4,6.000000000000001e-4,NA,NA,NA,NA,0,NA
Farm,12.2,11.7,5.5,NA,0.846,0.7127,0.4747,0.3152,0.0471,0.014100000000000001,0,0,NA,NA,NA,NA,0,NA
Farm,14.2,14.4,6.7,NA,1.532,1.2345,0.8842,0.5848,0.0723,0.021500000000000002,0.0206,0.0082,NA,NA,NA,NA,0,NA
