origin,diameter1,diameter2,height,buoyant_weight,weight,solid_parts,integuments,dry_integuments,digestive_tract,dry_digestive_tract,gonads,dry_gonads,skeleton,lantern,test,spines,maturity,sex
Fishery,9.9,10.2,5,NA,0.5215000000000001,0.4777,0.3658,NA,0.052500000000000005,0.0079,0,0,0.17929999999999957,0.0211,0.058699999999999974,0.0995,0,NA
Fishery,10.5,10.6,5.7,NA,0.6418,0.5891000000000001,0.4447,NA,0.04820000000000002,0.009000000000000001,0,0,0.18799999999999972,0.0205,0.062200000000000005,0.1053,0,NA
Fishery,10.8,10.8,5.2,NA,0.7336,0.677,0.5326,NA,0.0758,0.0134,0,0,0.2354,0.025400000000000002,0.08360000000000001,0.1263,0,NA
Fishery,9.6,9.3,4.6,NA,0.3697,0.3438,0.2661,NA,0.04420000000000002,0.0064,0,0,0.063,0.016700000000000003,0.018000000000000002,0.028300000000000002,0,NA
Fishery,10.4,10.7,4.8,NA,0.6097,0.5587,0.4058,NA,0.0743,0.0117,0,0,NA,NA,NA,NA,0,NA
Fishery,10.5,11.1,5,NA,0.6096,0.5509000000000001,0.4269,NA,0.0492,0.0097,0,0,NA,NA,NA,NA,0,NA
Fishery,11,11,5.2,NA,0.6721,0.6051,0.4523,NA,0.0734,0.0129,0,0,NA,NA,NA,NA,0,NA
Fishery,11.1,11.2,5.7,NA,0.7029,0.6278,0.4843,NA,0.060000000000000005,0.0117,0.0013000000000000002,0,NA,NA,NA,NA,0,NA
Fishery,9.4,9.2,4.6,NA,0.4132,0.3747,0.2768,NA,0.034499999999999975,0.0067,0,0,NA,NA,NA,NA,0,NA
Fishery,10.1,9.5,4.7,NA,0.4488,0.3981,0.2119,NA,0.0441,0.0076,0,0,NA,NA,NA,NA,0,NA
Fishery,9.1,9.5,4.5,NA,0.38270000000000004,0.3266,0.2427,NA,0.034,0.0082,0,0,NA,NA,NA,NA,0,NA
Fishery,8.7,8.9,4.3,NA,0.3318,0.2808,0.2177,NA,0.03049999999999997,0.0059,0,0,NA,NA,NA,NA,0,NA
Fishery,9.2,9.2,4.3,NA,0.3955,0.31,0.2564,NA,0.0281,0.006,0,0,NA,NA,NA,NA,0,NA
Fishery,9.4,9.5,4.7,NA,0.4134,0.3246,0.2736,NA,0.0032,0,0,0,NA,NA,NA,NA,0,NA
Fishery,13.2,12.8,5.6,NA,1.1,0.8838,0.7399,0.4609,0.05679999999999996,0.015800000000000036,0.0013000000000000002,0,0.4502999999999995,0.0614,0.18179999999999996,0.20709999999999962,0,NA
Fishery,12.5,12.7,6.1,NA,1.08,0.8568,0.6872,0.4331,0.0827,0.0162,0.0018000000000000002,0,0.4166999999999996,0.051300000000000005,0.16769999999999996,0.19770000000000001,0,NA
Fishery,16.2,16.6,7.7,NA,2.47,2.0723,1.5954,1.022,0.2214999999999998,0.041600000000000005,0.0057,9.000000000000001e-4,0.9876,0.0902,0.35240000000000027,0.545,0,NA
